,name,streetAddress,postalCode,addressLocality,telephone,faxNumber,url,email
0,Kreisverband Bad Doberan e.V.,Seestr. 12,18209, Bad Doberan,038203 7501 0,038203 7501 20,http://www.drk-dbr.de,info@drk-dbr.de
1,Kreisverband Bad Dürkheim e.V.,Sägmühle 3,67098, Bad Dürkheim,06322 9446 0,06322 9446 11,http://www.kv-duew.drk.de,info@kv-duew.drk.de
2,Kreisverband Bad Kissingen,Landwehrstr. 3,97688, Bad Kissingen,0971 7272 0,0971 7272 170,http://www.kvbad-kissingen.brk.de,info@kvbad-kissingen.brk.de
3,Kreisverband Bad Kreuznach e.V.,Rüdesheimer Str. 36 - 38,55545, Bad Kreuznach,0671 84444 0,0671 84444 310,http://www.drk-kreuznach.de,kreisverband@drk-kh.de
4,Kreisverband Bad Langensalza e.V.,Gothaer Landstr. 15,99947, Bad Langensalza,03603 842428,03603 891718,http://www.drk-bad-langensalza.de/,info@drk-bad-langensalza.de
5,Kreisverband Bad Mergentheim e.V.,Rotkreuz-Str. 31,97980, Bad Mergentheim,07931 48290 0,07931 48290 20,http://www.drk-bad-mergentheim.de,info@kv-bad-mergentheim.drk.de
6,Kreisverband Bad Salzungen e.V.,Hersfelder Str. 1,36433, Bad Salzungen,03695 8762 0,03695 8762 12,http://www.drk-badsalzungen.de,info@drk-badsalzungen.de
7,Kreisverband Bad Tölz-Wolfratshausen,Schützenstr. 7,83646, Bad Tölz,08041 7655 0,08041 7655 24,http://www.kvtoel.brk.de,info@kvtoel.brk.de
8,Kreisverband Bad Wildungen e.V.,Königsquellenweg 2 a,34537, Bad Wildungen,05621 7892 0,05621 7892 19,http://www.drk-wildungen.de/,service@drk-wildungen.de
9,Kreisverband Baden-Baden e.V.,Schweigrother Str. 8,76532, Baden-Baden,07221 9189 0,07221 9189 50,http://www.drk-baden-baden.de,c.huck@drk-baden-baden.de
10,Kreisverband Bamberg,Hainstr. 19,96047, Bamberg,0951 98189 0,0951 98189 20,http://www.kvbamberg.brk.de,info@kvbamberg.brk.de
11,Kreisverband Bautzen e.V.,Wallstr. 5,02625, Bautzen,03591 6737 0,03591 673730,http://www.drk-bautzen.de/,info@drk-bautzen.de
12,Kreisverband Bayreuth,Hindenburgstr. 10,95445, Bayreuth,0921 403 0,0921 403 419,https://www.brk-bayreuth.de,info@brk-bayreuth.de
13,Kreisverband Berchtesgadener Land,Riedelstr. 18,83435, Bad Reichenhall,08651 9590 0,08651 9590 50,http://www.brk-bgl.de,info@kvbgl.brk.de
14,Kreisverband Bergstraße e.V.,Boschstraße 1,64646, Heppenheim,06252 7004 0,06252 7004 25,http://www.drk-bergstrasse.de/,info@drk-bergstrasse.de
15,Kreisverband Berlin Schöneberg-Wilmersdorf e.V.,Kranzer Str. 6 - 7,14199, Berlin,030 2332 19 61 0,030 2332 19 61 65,http://www.drk-schoeneberg.de/,info@drk-wilmersdorf.de
16,Kreisverband Berlin Steglitz-Zehlendorf e.V.,Düppelstraße 36,12163, Berlin,030 7930239 0,030 7930239 11,http://www.drk-sz.de,info@drk-sz.de
17,Kreisverband Berlin-Nordost e.V.,Sella-Hasse-Straße 19-21,12687, Berlin,030 992739 70,030 9927397 18,http://drk-berlin-nordost.de/startseite.html,sekretariat@drk-berlin-nordost.de
18,Kreisverband Berlin-Zentrum e.V.,Herbartstraße 25,14057, Berlin,030 6003005100,,https://www.drk-berlin-zentrum.de/,info@drk-berlin-zentrum.de
19,Kreisverband Bernburg im Salzlandkreis e. V,Semmelweisstr. 27/28,06391, Bernburg,03471 3270,03471 327150,http://www.drk-bernburg-slk.de,info@drk-bernburg-slk.de
20,Kreisverband Bernkastel-Wittlich e.V.,Kurfürstenstr. 7 a,54516, Wittlich,06571 6977 0,06571 697769,http://www.kv-bks-wil.drk.de,info@kv-bks-wil.drk.de
21,Kreisverband Biberach e.V.,Rot-Kreuz-Weg 27,88400, Biberach,07351 1570 0,07351 1570 30,http://www.drk-bc.de,info@drk-bc.de
22,Kreisverband Biedenkopf e.V.,Hainstr. 77,35216, Biedenkopf,06461 77-0,06461 77-377,https://www.drk-biedenkopf.de,info@drk-biedenkopf.de
23,Kreisverband Bielefeld e.V.,August-Bebel-Str. 8,33602, Bielefeld,0521 52998 0,0521 52998 52,https://www.drk-bielefeld.de/,info@drk-bielefeld.de
24,Kreisverband Birkenfeld e.V.,Schönlautenbach 17,55743, Idar-Oberstein,06781 50600,06781 5060 60,http://www.kv-birkenfeld.drk.de/,info@drk-kv-birkenfeld.de
25,Kreisverband Bitburg-Prüm e.V.,Rot-Kreuz-Straße 1,54634, Bitburg,06561 6020 0,06561 6020 19,http://www.drk-bitburg-pruem.de/,info@drk-bitburg-pruem.de
26,Kreisverband Bitterfeld-Zerbst / Anhalt e.V.,Mittelstr. 31 a,06749, Bitterfeld-Wolfen,03493 37620,03493 376220,https://www.drk-bitterfeld.org/,drk@drk-bitterfeld.org
27,Kreisverband Böblingen e.V.,Umberto-Nobile-Straße 10,71063, Sindelfingen,07031 6904 0,07031 6904 281,http://www.drkbb.org,info@drkbb.org
28,Kreisverband Bochum e.V.,An der Holtbrügge 8,44795, Bochum,0234 9445 0,0234 9445160,http://www.drk-bochum.de,info@drk-bochum.de
29,Kreisverband Bodenseekreis e.V.,Rotkreuzstr. 2,88046, Friedrichshafen,49 7541 504 0,49 7541 504 105,http://www.drk-kv-bodenseekreis.de/,info@drk-kv-bodenseekreis.de
30,Kreisverband Bonn e.V.,Endenicher Str. 131,53115, Bonn,0228 9831 0,0228 9831 21,https://www.drk-bonn.de,info@drk-bonn.de
31,Kreisverband Börde e.V.,Maschenpromenade 22,39340, Haldensleben,0 3904  72507 0,0 3904  72507 20,http://www.drk-boerde.de,drk@drk-boerde.de
32,Kreisverband Borken e.V.,Röntgenstr. 6,46325, Borken,02861 8029 0,02861 8029 115,http://www.drkborken.de,info@drkborken.de
33,Kreisverband Bottrop e.V.,Siemensstr. 32,46238, Bottrop,02041 7373 0,02041 73 73 610,https://www.drk-bottrop.de,Info@drk-bottrop.de
34,Kreisverband Brandenburg an der Havel e.V.,Grüne Aue 6,14776, Brandenburg,03381 6306 0,03381 6306 23,http://www.drk-brandenburg-havel.de,info@drk-brandenburg-havel.de
35,Kreisverband Braunschweig-Salzgitter e.V.,Adolfstraße 20,38102, Braunschweig,0531   22031 0,0531   22031 33,https://www.drk-kv-bs-sz.de/,info@drkbssz.de
36,Kreisverband Bremen e.V.,Wachmannstr. 9,28209, Bremen,0421  34 03  0,0421  34 03  135,http://www.drk-bremen.de,info@drk-bremen.de
37,Kreisverband Bremerhaven e.V.,Borriesstraße 37,27570, Bremerhaven,0471 309404 0,0471 309404 44,http://www.drk-bremerhaven.de,info@drk-bremerhaven.de
38,Kreisverband Bremervörde e.V.,Großer Platz 12,27432, Bremervörde,04761 99370,04761 993722,http://www.drk-bremervoerde.de,info@drk-bremervoerde.de
39,Kreisverband Brilon e.V.,Freiladestraße 3,59929, Brilon,02961 9655 0,02961 9655 28,http://www.drk-brilon.de,kontakt@drk-brilon.de
40,Kreisverband Buchen e.V.,Henry-Dunant-Str. 1,74722, Buchen,06281 5222 0,06281 5222 20,http://www.drk-buchen.de/,info@drk-buchen.de
41,Kreisverband Büdingen e.V.,Vogelsbergstr. 94,63654, Büdingen,06042 8806 0,06042 8806 66,http://www.drk-buedingen.de,info@drk-buedingen.de
